Article,Area,BU - Positions,Fees 01/26,Fees 02/26,Fees 03/26,Fees 04/26,Fees 05/26,Fees 06/26,Fees 07/26,Fees 08/26,Fees 09/26,Fees 10/26,Fees 11/26,Fees 12/25,Fees 12/26,Market,Nb pos.,Site,Sold pos. 02/26,Tags,Topic,Traffic 30 days (18/09),Traffic 30 days (19/02),Traffic July,URL
Aplicativos de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181e78e91f50f31d6bd87?pvs=21), 2 (https://www.notion.so/2-162258225041810383aadd263a4d54ed?pvs=21), 3 (https://www.notion.so/3-16225822504181b4a5ebd2d04bf068c6?pvs=21), 4 (https://www.notion.so/4-162258225041814b86d7ec26bcedcc07?pvs=21), 5 (https://www.notion.so/5-162258225041810db1f3fe9ceda8863a?pvs=21), 6 (https://www.notion.so/6-16225822504181648c60e6386af71b9b?pvs=21), 7 (https://www.notion.so/7-16225822504181ab8d35c6d8c44d387a?pvs=21), 8 (https://www.notion.so/8-162258225041813b8b21f38e387674ee?pvs=21), 9 (https://www.notion.so/9-16225822504181679a40cb3c3c872d80?pvs=21), 10 (https://www.notion.so/10-1622582250418139879ff69781e2ba55?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Apps,Sports betting,83,45,33,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/melhores-apps-de-apostas/
Apostas grátis,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418146957ad8a5cbb897d8?pvs=21), 2 (https://www.notion.so/2-16225822504181c39557e483183f2d27?pvs=21), 3 (https://www.notion.so/3-1622582250418118a873e965a4a0e3b8?pvs=21), 4 (https://www.notion.so/4-16225822504181a5bacafedb1666c701?pvs=21), 5 (https://www.notion.so/5-1622582250418182851fd9012796b215?pvs=21), 6 (https://www.notion.so/6-162258225041819bbbf6e8a599ec8ae3?pvs=21), 7 (https://www.notion.so/7-16225822504181c89d83deae04db508c?pvs=21), 8 (https://www.notion.so/8-16225822504181d2ac23d7ffbadbf9bf?pvs=21), 9 (https://www.notion.so/9-162258225041811e96e2dc8db34e831f?pvs=21), 10 (https://www.notion.so/10-1622582250418159b07cc24f2d477872?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Bonus,Sports betting,27,200,71,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/apostas-gratis/
Bônus de cassino online,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418145afa0cb9efbf0af1e?pvs=21), 2 (https://www.notion.so/2-16225822504181be8527d0aa73b2ca7e?pvs=21), 3 (https://www.notion.so/3-16225822504181b693e4d1984f4b51e6?pvs=21), 4 (https://www.notion.so/4-16225822504181a5b33eec89c4c8058f?pvs=21), 5 (https://www.notion.so/5-162258225041816aa92cd620cdef7a99?pvs=21), 6 (https://www.notion.so/6-16225822504181bda30fc14759c009fa?pvs=21), 7 (https://www.notion.so/7-162258225041818a816ee3e0b0336938?pvs=21), 8 (https://www.notion.so/8-16225822504181d9a872dc062ba644ea?pvs=21), 9 (https://www.notion.so/9-162258225041813984bee86372ca053c?pvs=21), 10 (https://www.notion.so/10-1622582250418195b348e5f75a984504?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Bonus,Casino,268,73,239,https://www.umdoisesportes.com.br/apostas/cassino/melhores-bonus-de-cassino/
Casas de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181e493d7c78ebd471823?pvs=21), 2 (https://www.notion.so/2-162258225041817d8752fd18635af968?pvs=21), 3 (https://www.notion.so/3-1622582250418195a257e68cba90578b?pvs=21), 4 (https://www.notion.so/4-1622582250418179a533e210a5210a50?pvs=21), 5 (https://www.notion.so/5-16225822504181cfb9e8e02ac188d29b?pvs=21), 6 (https://www.notion.so/6-16225822504181de9340d1f61edef4cd?pvs=21), 7 (https://www.notion.so/7-162258225041812f91c0f35104bbdf59?pvs=21), 8 (https://www.notion.so/8-1622582250418176b260ef18bae4d732?pvs=21), 9 (https://www.notion.so/9-1622582250418102b56ceb804ab4cbba?pvs=21), 10 (https://www.notion.so/10-16225822504181608c55fac55662fe93?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,,Sports betting,45,20,43,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/melhores-casas-de-apostas/
Casas de Apostas com Bônus de Cadastro,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418176a3e8d310ceb4c184?pvs=21), 2 (https://www.notion.so/2-162258225041813794d9eec20681cccf?pvs=21), 3 (https://www.notion.so/3-16225822504181a980f5ccf826973ddf?pvs=21), 4 (https://www.notion.so/4-1622582250418117aa35fe8485eb0d27?pvs=21), 5 (https://www.notion.so/5-16225822504181e1a70ef7488604819d?pvs=21), 6 (https://www.notion.so/6-162258225041812f8009f3c01fef5174?pvs=21), 7 (https://www.notion.so/7-162258225041812f8f6dc36e939ab83b?pvs=21), 8 (https://www.notion.so/8-16225822504181829b84c28b39913c29?pvs=21), 9 (https://www.notion.so/9-162258225041810e9094f4986567e99a?pvs=21), 10 (https://www.notion.so/10-16225822504181019e81d9ffb83ecfdc?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Bonus,Sports betting,,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/top-9-casas-de-apostas-com-bonus-de-cadastro-no-brasil-em-2024/
Casas de apostas com cash out,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16525822504180ca9e24c2a21445a64e?pvs=21), 2 (https://www.notion.so/2-16525822504180b0b6f2f0fac5c2c2fa?pvs=21), 3 (https://www.notion.so/3-165258225041803ab459eef6dedc72c7?pvs=21), 4 (https://www.notion.so/4-16525822504180afa276c27afbc4ebef?pvs=21), 5 (https://www.notion.so/5-16525822504180b4aeebdf8ffbf47511?pvs=21), 6 (https://www.notion.so/6-165258225041805bbaa0e3810878b6f7?pvs=21), 7 (https://www.notion.so/7-16525822504180979412e3f3ed34db15?pvs=21), 8 (https://www.notion.so/8-165258225041806d930dddd102994049?pvs=21), 9 (https://www.notion.so/9-165258225041803dae04ed1f1935a07e?pvs=21), 10 (https://www.notion.so/10-1652582250418076aa55d432bedc81d9?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,53,20,29,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/casas-de-apostas-com-cash-out/
Casas de apostas com depósito mínimo de 1 real,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181f68543e677d39efac9?pvs=21), 2 (https://www.notion.so/2-162258225041810cbc35ea7ba87cd74c?pvs=21), 3 (https://www.notion.so/3-1622582250418199b2dbff8665e6f039?pvs=21), 4 (https://www.notion.so/4-16225822504181b3b3b0c012651980eb?pvs=21), 5 (https://www.notion.so/5-16225822504181c59e7dd9df2ed423cc?pvs=21), 6 (https://www.notion.so/6-1622582250418105b700d05583261a1b?pvs=21), 7 (https://www.notion.so/7-162258225041810cbab0f490c268dbe0?pvs=21), 8 (https://www.notion.so/8-16225822504181c19c62f0b96f48b575?pvs=21), 9 (https://www.notion.so/9-162258225041817d866df0a821f66d43?pvs=21), 10 (https://www.notion.so/10-162258225041812c9274fa3a870c37e8?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/casas-de-apostas-com-deposito-minimo-de-1-real/
Casas de apostas com depósito mínimo de 5 reais,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041813d892debccbd30738d?pvs=21), 2 (https://www.notion.so/2-1622582250418139810dfdeff9f6a75b?pvs=21), 3 (https://www.notion.so/3-16225822504181039ff7caff11221fa1?pvs=21), 4 (https://www.notion.so/4-16225822504181acaf67cfad63355acf?pvs=21), 5 (https://www.notion.so/5-1622582250418136bee8ee3e02041cf6?pvs=21), 6 (https://www.notion.so/6-162258225041816596ccf0ccf059070b?pvs=21), 7 (https://www.notion.so/7-16225822504181289eabf9d58c1f668c?pvs=21), 8 (https://www.notion.so/8-16225822504181c3be3becb90977e490?pvs=21), 9 (https://www.notion.so/9-162258225041812da067f4b7c140a81c?pvs=21), 10 (https://www.notion.so/10-1622582250418177bfddd0ab6698739f?pvs=21)",1600,1600,1600,0,0,0,0,0,0,0,0,1800,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),5,Payment,Sports betting,"2,649","2,468","2,160",https://www.umdoisesportes.com.br/apostas/pagamento/casas-de-apostas-com-deposito-minimo-de-5-reais/
Casas de apostas legalizadas no Brasil,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181b78b31f78c47d855d9?pvs=21), 2 (https://www.notion.so/2-16225822504181e28f9dcddac1b23e0d?pvs=21), 3 (https://www.notion.so/3-16225822504181ccadc9ccfa3db97096?pvs=21), 4 (https://www.notion.so/4-16225822504181e7af4eca6af9a17b1a?pvs=21), 5 (https://www.notion.so/5-16225822504181e484d3f5c8c26f0126?pvs=21), 6 (https://www.notion.so/6-162258225041813880d4d245eef72c90?pvs=21), 7 (https://www.notion.so/7-162258225041812f8c3ad14ddae8d498?pvs=21), 8 (https://www.notion.so/8-162258225041818789f5eac99d3ccf40?pvs=21)",5350,5300,2100,0,0,0,0,0,0,0,0,5350,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),8,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),6,Legal,Sports betting,"4,790","5,171","6,641",https://www.umdoisesportes.com.br/apostas/apostas-esportivas/casas-de-apostas-legais/
Casas de apostas que aceitam cartão de crédito,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181508237e17b1edc6544?pvs=21), 2 (https://www.notion.so/2-1622582250418120997cedcda6b6d59d?pvs=21), 3 (https://www.notion.so/3-16225822504181598050f203b7fd892b?pvs=21), 4 (https://www.notion.so/4-16225822504181429ed3fc0ac11f9498?pvs=21), 5 (https://www.notion.so/5-1622582250418136a988ccf6165228da?pvs=21), 6 (https://www.notion.so/6-162258225041817dbf87f94b61efa5db?pvs=21), 7 (https://www.notion.so/7-16225822504181d5a7dcee1ea870f0e5?pvs=21), 8 (https://www.notion.so/8-162258225041813799afed6c0c62b1a7?pvs=21), 9 (https://www.notion.so/9-1622582250418149ba9ed0ac10b9327b?pvs=21), 10 (https://www.notion.so/10-1622582250418122a0d8cd53ccbd6506?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,331,9,474,https://www.umdoisesportes.com.br/apostas/pagamento/casas-de-apostas-que-aceitam-cartao-de-credito/
Casas de apostas que aceitam cartão de débito,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16525822504180a982cbd1f4f1efd48d?pvs=21), 2 (https://www.notion.so/2-16525822504180b88d3fe106888d2e28?pvs=21), 3 (https://www.notion.so/3-16525822504180f5b002dcb259a2cf0b?pvs=21), 4 (https://www.notion.so/4-16525822504180cb811be3d9a7b0adbd?pvs=21), 5 (https://www.notion.so/5-16525822504180cf85a1e91889a68a5f?pvs=21), 6 (https://www.notion.so/6-165258225041807389a9f738cfdb5cfb?pvs=21), 7 (https://www.notion.so/7-165258225041807897c4d0858cf03700?pvs=21), 8 (https://www.notion.so/8-16525822504180c78c95c451a0113faa?pvs=21), 9 (https://www.notion.so/9-165258225041805ebaf3d803240ff789?pvs=21), 10 (https://www.notion.so/10-16525822504180fb98a1c9ecd126f966?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,246,95,440,https://www.umdoisesportes.com.br/apostas/pagamento/casas-de-apostas-que-aceitam-cartao-de-debito/
Casas de apostas que aceitam Pix,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181299828f1fef704d575?pvs=21), 2 (https://www.notion.so/2-1622582250418163a895dae9abe9cdab?pvs=21), 3 (https://www.notion.so/3-16225822504181d79d30dfe7a0c2145a?pvs=21), 4 (https://www.notion.so/4-1622582250418123a448fc000d4c7900?pvs=21), 5 (https://www.notion.so/5-16225822504181948850f05115a4f08f?pvs=21), 6 (https://www.notion.so/6-16225822504181a59643e6f4a3ced17e?pvs=21), 7 (https://www.notion.so/7-16225822504181ed921ec368931358e4?pvs=21), 8 (https://www.notion.so/8-1622582250418117a9dfc2051dec57b2?pvs=21), 9 (https://www.notion.so/9-16225822504181d7b81cd3f1a87ddf97?pvs=21), 10 (https://www.notion.so/10-16225822504181c1a869fb1a686cd024?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,34,31,167,https://www.umdoisesportes.com.br/apostas/pagamento/casas-de-apostas-que-aceitam-pix/
Casas de Apostas que Pagam Rápido,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181c2be06f8b5cde9280a?pvs=21), 2 (https://www.notion.so/2-16225822504181cda246e0ed99dff994?pvs=21), 3 (https://www.notion.so/3-162258225041814085a4d8338e94f959?pvs=21), 4 (https://www.notion.so/4-162258225041812bb020f09854424762?pvs=21), 5 (https://www.notion.so/5-16225822504181efb6b6cb959b087f19?pvs=21), 6 (https://www.notion.so/6-16225822504181f0b90fe09187b5544a?pvs=21), 7 (https://www.notion.so/7-16225822504181f486aed0cd7674eae8?pvs=21), 8 (https://www.notion.so/8-1622582250418128b982dc64f89abae3?pvs=21), 9 (https://www.notion.so/9-1622582250418198be59f33c56805f7c?pvs=21), 10 (https://www.notion.so/10-1622582250418114a5f9c35c8522be3f?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Sports betting,,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/10-casas-de-apostas-que-pagam-rapido-em-2024/
Cassinos com Bônus sem Depósito,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504181abbc31c14df66aa3e3?pvs=21), 2 (https://www.notion.so/2-16225822504181e2a96ddc155368a992?pvs=21), 3 (https://www.notion.so/3-162258225041817cb45bd7f878f16bf5?pvs=21), 4 (https://www.notion.so/4-162258225041818c9f4ad75d88c64d27?pvs=21), 5 (https://www.notion.so/5-16225822504181bebf65efde7b952ca8?pvs=21), 6 (https://www.notion.so/6-1622582250418110b31bea753181097e?pvs=21), 7 (https://www.notion.so/7-1622582250418140b5e0c543212303cc?pvs=21), 8 (https://www.notion.so/8-162258225041814c85c5e51007f777ba?pvs=21), 9 (https://www.notion.so/9-16225822504181a78cc4c6bbd5a7246e?pvs=21), 10 (https://www.notion.so/10-16225822504181ba864bdec773d9d672?pvs=21)",2900,2700,1800,0,0,0,0,0,0,0,0,2600,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),6,Payment,Casino,"35,198","16,448","32,243",https://www.umdoisesportes.com.br/apostas/cassino/bonus-sem-deposito/
Cassinos com Rodadas Grátis,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041816fb32fd28b5eabbf5a?pvs=21), 2 (https://www.notion.so/2-162258225041813a9831c1cdd13025c2?pvs=21), 3 (https://www.notion.so/3-1622582250418121abc8e0cf3bf16cda?pvs=21), 4 (https://www.notion.so/4-1622582250418100a78dfab4c886cade?pvs=21), 5 (https://www.notion.so/5-1622582250418139b359d7803bf299c4?pvs=21), 6 (https://www.notion.so/6-16225822504181efb349f2e274d7837d?pvs=21), 7 (https://www.notion.so/7-1622582250418197b0d7fdb0215c0d13?pvs=21), 8 (https://www.notion.so/8-162258225041817f8280fad297bb2de7?pvs=21), 9 (https://www.notion.so/9-162258225041819bbc87ebadbcb46833?pvs=21), 10 (https://www.notion.so/10-1622582250418146ba33d868749b8e12?pvs=21)",3050,3050,2950,0,0,0,0,0,0,0,0,3050,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),5,Bonus,Casino,"19,560","14,564","17,444",https://www.umdoisesportes.com.br/apostas/cassino/cassinos-com-rodadas-gratis/
Cassinos legalizados no Brasil,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16525822504180d79368c2a6a5da54e7?pvs=21), 2 (https://www.notion.so/2-1652582250418042910acc3cfdda345b?pvs=21), 3 (https://www.notion.so/3-1652582250418025a521e5447cfbc281?pvs=21), 4 (https://www.notion.so/4-16525822504180029a49f3a7f90c93f4?pvs=21), 5 (https://www.notion.so/5-1652582250418032adafe2abbe0e6751?pvs=21), 6 (https://www.notion.so/6-165258225041804fbd7cddaad9be0801?pvs=21), 7 (https://www.notion.so/7-16525822504180f2b1b6f0bf3aa07e61?pvs=21), 8 (https://www.notion.so/8-16525822504180a0a4e6fbe946e5a027?pvs=21), 9 (https://www.notion.so/9-16525822504180608d1fd861fafcc3f4?pvs=21), 10 (https://www.notion.so/10-16525822504180448186d6428811e144?pvs=21), 11 (https://www.notion.so/11-165258225041805c86bfc996b0edc142?pvs=21), 12 (https://www.notion.so/12-1652582250418017a33fc20785ff9192?pvs=21), 13 (https://www.notion.so/13-16525822504180ec97e4c9783ddf8cc1?pvs=21), 14 (https://www.notion.so/14-16525822504180e1aa1ecae8f79943d6?pvs=21), 15 (https://www.notion.so/15-16525822504180b39ea9dcd2429a054f?pvs=21)",5000,4800,4800,0,0,0,0,0,0,0,0,5500,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),15,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),5,Legal,Casino,"1,975","1,776","1,756",https://www.umdoisesportes.com.br/apostas/cassino/cassinos-legalizados-no-brasil/
Cassinos online,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041810bb0fad75607671224?pvs=21), 2 (https://www.notion.so/2-16225822504181af8210ddefc99c58a0?pvs=21), 3 (https://www.notion.so/3-16225822504181ab8c0ad26753d3d88a?pvs=21), 4 (https://www.notion.so/4-16225822504181f29697d9f6ff2ac0a6?pvs=21), 5 (https://www.notion.so/5-1622582250418196b22adf4ca97fb9c3?pvs=21), 6 (https://www.notion.so/6-162258225041813e88f4eed575d8dd05?pvs=21), 7 (https://www.notion.so/7-1622582250418184b5e2d20e2342e129?pvs=21), 8 (https://www.notion.so/8-162258225041815ba365cae7ce5b869d?pvs=21), 9 (https://www.notion.so/9-1622582250418192ba82e852db7d6ddb?pvs=21), 10 (https://www.notion.so/10-16225822504181ed84ecf5648a571f6a?pvs=21)",0,900,900,0,0,0,0,0,0,0,0,3000,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),1,,Casino,414,129,"1,056",https://www.umdoisesportes.com.br/apostas/cassino/melhores-cassinos/
Cassinos que aceitam cartão de crédito,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041812a80bbe4993d5c6d40?pvs=21), 2 (https://www.notion.so/2-1622582250418142b794d314d3d200ab?pvs=21), 3 (https://www.notion.so/3-16225822504181f787e1c1f0d423ed93?pvs=21), 4 (https://www.notion.so/4-16225822504181a680bedc2084cef57c?pvs=21), 5 (https://www.notion.so/5-16225822504181ed9fc2cabfdb7f05b2?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,Payment,Casino,,,,https://www.umdoisesportes.com.br/apostas/pagamento/cassinos-que-aceitam-cartao-de-credito/
Cassinos que pagam via Pix,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"2 (https://www.notion.so/2-16225822504181078d63d198757fcf1d?pvs=21), 3 (https://www.notion.so/3-162258225041810d8f6bd918f71299bf?pvs=21), 6 (https://www.notion.so/6-162258225041819aaab5ea957c07b48b?pvs=21), 8 (https://www.notion.so/8-162258225041814d9b18cd24400cf09c?pvs=21), 5 (https://www.notion.so/5-16225822504181a8baaac3b65d0d6f46?pvs=21), 10 (https://www.notion.so/10-162258225041812dba40ebaeebfcedff?pvs=21), 9 (https://www.notion.so/9-16225822504181e9a7f1d6c8e32715fc?pvs=21), 7 (https://www.notion.so/7-162258225041815cbd1aef42457f7328?pvs=21), 1 (https://www.notion.so/1-16225822504181a785cdc5209817b34c?pvs=21), 4 (https://www.notion.so/4-16225822504181b0ab9be861989e4d75?pvs=21)",3300,2700,2600,0,0,0,0,0,0,0,0,3900,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),5,Payment,Casino,"5,570","3,859","3,870",https://www.umdoisesportes.com.br/apostas/cassino/pagamentos/cassinos-que-pagam-via-pix/
Jogos de cassino para celular,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16525822504180d1ad29ca4cca732fd8?pvs=21), 2 (https://www.notion.so/2-16525822504180f4a05dcf2e18896738?pvs=21), 3 (https://www.notion.so/3-16525822504180849119ca28d1eac4c4?pvs=21), 4 (https://www.notion.so/4-16525822504180c5ae83d8298bb78f46?pvs=21), 5 (https://www.notion.so/5-16525822504180faaa27cf27272e7d81?pvs=21), 6 (https://www.notion.so/6-165258225041800db299ddbacbb246fc?pvs=21), 7 (https://www.notion.so/7-16525822504180a383c4fb7dfef50b3d?pvs=21), 8 (https://www.notion.so/8-16525822504180d6bb20fb6ea39f28f8?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),8,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),0,"Apps, Competition",Casino,28,19,27,https://www.umdoisesportes.com.br/apostas/cassino/jogos-de-cassino-para-celular/
Melhores jogos de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041814a9041d36f772e1c79?pvs=21), 2 (https://www.notion.so/2-1622582250418108b7a5f325ddd78d14?pvs=21), 3 (https://www.notion.so/3-162258225041812aa6b0d404bbba7934?pvs=21), 4 (https://www.notion.so/4-16225822504181ffb712fad0142a8b73?pvs=21), 5 (https://www.notion.so/5-16225822504181b39795da68b40bb771?pvs=21), 6 (https://www.notion.so/6-16225822504181c0bb5fcc0c580a0831?pvs=21), 7 (https://www.notion.so/7-162258225041819791dcda64b5377e9a?pvs=21), 8 (https://www.notion.so/8-16225822504181fe902ec3c659e43f92?pvs=21), 9 (https://www.notion.so/9-16225822504181e197f0cdb2c7db97d3?pvs=21), 10 (https://www.notion.so/10-1622582250418175978bf49d875aecd8?pvs=21)",2025,2025,2025,0,0,0,0,0,0,0,0,1925,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,UmDois Esportes (https://www.notion.so/UmDois-Esportes-4a935835ea9d4a99ad9c6bc9d3e72fbe?pvs=21),5,Competition,Sports betting,"1,180",178,"1,248",https://www.umdoisesportes.com.br/apostas/cassino/melhores-jogos-de-apostas/
